"site","id","genera","sex","mass_log","age","taken_blood","tested_tissue5s","tested_tissue16s","path_presence","hel_presence","hel_load","hel_rich","tic_presence","tic_load","tic_rich","path_rich","macro_load","site_area_log","site_path_rich","site_vert_rich","site_rod_shan","site_pred_shan","site_qil_18","hel_load_log","tic_load_log","data","date","data_type"
"CCSP","3208","NEFU","F",2.075546961,"J",0,0,NA,0,0,0,0,1,2,1,1,2,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,0,1.09861228866811,12.1979999542236,"2018-04-01","vpdmax"
"CCSP","3208","NEFU","F",2.075546961,"J",0,0,NA,0,0,0,0,1,2,1,1,2,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,0,1.09861228866811,13.9700002670288,"2018-04-01","tmean"
"CCSP","3209","NEFU","F",2.371067862,"A",0,0,NA,0,1,70,1,1,25,1,2,95,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,4.26267987704132,3.25809653802148,84.8209991455078,"2018-04-01","ppt"
"CCSP","3209","NEFU","F",2.371067862,"A",0,0,NA,0,1,70,1,1,25,1,2,95,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,4.26267987704132,3.25809653802148,12.1979999542236,"2018-04-01","vpdmax"
"CCSP","3209","NEFU","F",2.371067862,"A",0,0,NA,0,1,70,1,1,25,1,2,95,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,4.26267987704132,3.25809653802148,13.9700002670288,"2018-04-01","tmean"
"CCSP","3210","NEFU","M",2.127104798,"A",0,0,NA,0,NA,NA,NA,1,23,1,1,23,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,3.17805383034795,84.8209991455078,"2018-04-01","ppt"
"CCSP","3210","NEFU","M",2.127104798,"A",0,0,NA,0,NA,NA,NA,1,23,1,1,23,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,3.17805383034795,12.1979999542236,"2018-04-01","vpdmax"
"CCSP","3210","NEFU","M",2.127104798,"A",0,0,NA,0,NA,NA,NA,1,23,1,1,23,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,3.17805383034795,13.9700002670288,"2018-04-01","tmean"
"CCSP","3251","PERO","F",1.301029996,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,0,84.8209991455078,"2018-04-01","ppt"
"CCSP","3251","PERO","F",1.301029996,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,0,12.1979999542236,"2018-04-01","vpdmax"
"CCSP","3251","PERO","F",1.301029996,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,0,13.9700002670288,"2018-04-01","tmean"
"CCSP","3252","NEFU","M",2.547774705,"A",0,0,NA,0,NA,NA,NA,1,17,1,1,17,0.6769445,0.01837968,0.7130846,0.93015386,-0.1224409,1.62666801,NA,2.89037175789616,84.8209991455078,"2018-04-01","ppt"
