"id","site","genera","sex","mass_log","age","taken_blood","tested_tissue5s","tested_tissue16s","path_presence","hel_presence","hel_load","hel_rich","tic_presence","tic_load","tic_rich","path_rich","macro_load","site_area_log","site_path_rich","site_vert_rich","site_rod_shan","site_pred_shan","site_qil_18","hel_load_log","tic_load_log","date","species","overall_infection"
"A808","JSCP","NEFU","F",NA,"A",NA,0,0,0,NA,NA,NA,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0,"4/9/18","NEFU","Negative"
"A809","JSCP","PERO","M",1.342422681,"A",0,0,0,0,0,0,0,1,2,2,2,2,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,0,1.09861228866811,"4/9/18","PETR","Negative"
"A810","JSCP","PERO","M",1.380211242,"A",1,0,0,1,0,0,0,0,0,0,1,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,0,0,"4/9/18","PETR","BM"
"A811","JSCP","PERO","M",1.342422681,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0,"4/9/18","PETR","Negative"
"A812","JSCP","PERO","M",1.397940009,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0,"4/9/18","PETR","Negative"
"A813","JSCP","PERO","F",1.342422681,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0,"4/9/18","PETR","Negative"
"A814","JSCP","PERO","F",1.301029996,"A",1,0,0,1,0,0,0,0,0,0,1,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,0,0,"4/9/18","PETR","BARF"
"A823","TUP","PERO","F",1.340444115,"J",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,-0.1452017,-1.89923339,-0.4826055,1.10569691,-0.0988133,-0.91830804,NA,0,"4/15/18","PEMA","Negative"
"A825","TUP","PERO","M",1.344392274,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,-0.1452017,-1.89923339,-0.4826055,1.10569691,-0.0988133,-0.91830804,NA,0,"4/15/18","PEMA","Negative"
"A826","WDLP","PERO","M",1.397940009,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,NA,0,"4/8/18","PETR","Negative"
"A827","WDLP","PERO","M",1.342422681,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,-0.6210434,-0.94042686,-0.4826055,0.2718674,0.4682497,0.8098128,NA,0,"4/8/18","PETR","Negative"
"A848","TUP","PERO","F",1.255272505,"A",NA,0,NA,0,NA,NA,NA,1,1,1,1,1,-0.1452017,-1.89923339,-0.4826055,1.10569691,-0.0988133,-0.91830804,NA,0.693147180559945,"4/15/18","PEMA","Negative"
"A849","TUP","NEFU",NA,NA,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,-0.1452017,-1.89923339,-0.4826055,1.10569691,-0.0988133,-0.91830804,NA,0,"4/15/18","NEFU","Negative"
"A850","TUP","NEFU","F",2.423245874,"A",NA,0,NA,0,NA,NA,NA,0,0,0,0,0,-0.1452017,-1.89923339,-0.4826055,1.10569691,-0.0988133,-0.91830804,NA,0,"4/15/18","NEFU","Negative"
"A851","JSCP","PERO","F",1.361727836,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0,"4/9/18","PETR","Negative"
"A852","JSCP","PERO","M",1.342422681,"A",0,0,0,0,1,1,1,1,1,1,2,2,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,0.693147180559945,0.693147180559945,"4/9/18","PETR","Negative"
"A853","JSCP","PERO","F",1.322219295,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0,"4/9/18","PETR","Negative"
"A854","JSCP","PERO","F",1.462397998,"A",1,0,0,1,0,0,0,1,1,1,2,1,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,0,0.693147180559945,"4/9/18","PETR","BARF"
"A855","JSCP","PERO","M",1.431363764,"A",0,0,0,0,NA,NA,NA,1,1,1,1,1,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0.693147180559945,"4/9/18","PETR","Negative"
"A856","JSCP","PERO","M",1.491361694,"A",1,0,0,1,0,0,0,1,1,1,2,1,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,0,0.693147180559945,"4/9/18","PETR","BARF"
"A858","JSCP","PERO","F",1.361727836,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0,"4/9/18","PETR","Negative"
"A859","JSCP","PERO","M",1.361727836,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0,"4/9/18","PETR","Negative"
"A860","JSCP","PERO","F",1.447158031,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0,"4/9/18","PETR","Negative"
"A861","JSCP","NEFU","F",2.045322979,"J",0,1,0,1,0,0,0,0,0,0,1,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,0,0,"4/9/18","NEFU","BB"
"A862","JSCP","PERO","F",1.515873844,"A",1,0,0,1,0,0,0,0,0,0,1,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,0,0,"4/9/18","PETR","BARF"
