"site","id","genera","sex","mass_log","age","taken_blood","tested_tissue5s","tested_tissue16s","path_presence","hel_presence","hel_load","hel_rich","tic_presence","tic_load","tic_rich","path_rich","macro_load","site_area_log","site_path_rich","site_vert_rich","site_rod_shan","site_pred_shan","site_qil_18","hel_load_log","tic_load_log"
"JSCP","A189","PERO","M",1.371067862,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0
"JSCP","A190","PERO","F",1.371067862,"A",1,0,0,1,0,0,0,0,0,0,1,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,0,0
"JSCP","A191","PERO","F",1.33243846,"A",NA,0,0,0,NA,NA,NA,1,1,2,2,1,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0.693147180559945
"JSCP","A192","PERO","M",1.380211242,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0
"JSCP","A193","PERO","F",1.290034611,"A",0,1,0,1,0,0,0,0,0,0,1,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,0,0
"JSCP","A195","NEFU","F",1.336459734,"A",NA,0,0,0,NA,NA,NA,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0
"JSCP","A196","PERO","M",2.056904851,"J",0,0,0,0,0,0,0,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,0,0
"JSCP","A197","PERO","M",1.423245874,"A",0,0,0,0,NA,NA,NA,1,2,1,1,2,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,1.09861228866811
"JSCP","A198","PERO","F",1.385606274,"A",0,0,0,0,NA,NA,NA,1,1,1,1,1,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0.693147180559945
"JSCP","A199","PERO","M",1.42975228,"A",1,0,0,1,0,0,0,1,1,1,2,1,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,0,0.693147180559945
"JSCP","A267","PERO","F",1.278753601,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0
"JSCP","A268","NEFU","M",2.201397124,"J",0,0,0,0,0,0,0,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,0,0
"JSCP","A269","NEFU","F",1.963787827,"J",0,0,0,0,0,0,0,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,0,0
"JSCP","A801","NEFU","F",2.399673721,"A",0,0,0,0,1,8,2,0,0,0,2,8,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,2.19722457733622,0
"JSCP","A803","PERO","F",1.591064607,"A",1,1,0,1,0,0,0,0,0,0,2,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,0,0
"JSCP","A804","PERO","F",1.322219295,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0
"JSCP","A805","PERO","M",1.342422681,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0
"JSCP","A806","PERO","M",1.301029996,"A",1,0,0,1,0,0,0,0,0,0,1,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,0,0
"JSCP","A808","NEFU","F",NA,"A",NA,0,0,0,NA,NA,NA,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0
"JSCP","A809","PERO","M",1.342422681,"A",0,0,0,0,0,0,0,1,2,2,2,2,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,0,1.09861228866811
"JSCP","A810","PERO","M",1.380211242,"A",1,0,0,1,0,0,0,0,0,0,1,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,0,0
"JSCP","A811","PERO","M",1.342422681,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0
"JSCP","A812","PERO","M",1.397940009,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0
"JSCP","A813","PERO","F",1.342422681,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0
"JSCP","A814","PERO","F",1.301029996,"A",1,0,0,1,0,0,0,0,0,0,1,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,0,0
"JSCP","A851","PERO","F",1.361727836,"A",0,0,0,0,NA,NA,NA,0,0,0,0,0,-1.103821,0.49778295,-1.6782956,-1.52744892,-1.7291196,-0.87315524,NA,0
